Unit,Size,Square_Footage,Type,Flip,WH_flip,Flip_to_Assembly,WH_all_floor,Insulation,WH_insu,Subfloor,WH_sub,Sanding,WH_sand,Sweeping,WH_sweep,Dust,WH_dust,Proplast,WH_pro,All_Vinyl,WH_all_vinyl,Vinyl_Layout,WH_lay,Vinyl_Trim,WH_trim,Glue_1,WH_G1,Glue_2,WH_G2,Roll,WH_Roll,Plastic,WH_Plastic,Total_Flooring_Time , Total_Shop_Time,Total_WH
AL21-1777,40x12,480,3 Office,0.083333333,0.33,5.82,11.63,0.75,1.00,1.50,4.50,0.75,0.75,,,,,,,2.65,5.13,,,,,,,,,,,,,5.65,5.65,11.47
AL21-1778,40x12,480,3 Office,0.1,0.20,5.22,8.88,0.38,1.15,1.50,2.73,,,,,,,,,3.00,5.00,,,,,,,,,,,,,5.10,5.27,9.32
AL21-1779,40x12,480,Open,0.083333333,0.33,5.88,8.18,1.42,0.73,2.58,3.97,,,,,,,,,1.83,2.75,,,,,,,,,,,,,5.27,6.17,8.52
AL21-1768,50x12,600,3 Office (SOLD),0.166666667,0.33,5.77,11.70,0.88,1.05,0.58,3.50,,,,,,,,,2.33,3.20,,,,,,,,,,,0.22,0.43,10.17,8.67,12.03
AL21-1770,60x12,720,Open,0.166666667,0.38,8.27,15.40,1.58,2.83,0.67,4.00,0.83,0.83,,,,,0.33,0.50,1.92,3.08,,,,,,,,,,,0.27,0.53,7.93,8.43,15.78
AL21-1771,60x12,720,Open,0.066666667,0.33,5.17,12.30,1.58,3.67,2.17,4.07,0.50,0.50,0.08,0.08,2:48,0.12,0.22,0.28,1.47,2.93,,,,,,,,,,,,,5.23,5.33,12.63
AL21-1772,60x12,720,Open,0.05,0.20,4.30,14.48,0.83,3.28,1.92,4.37,0.67,0.67,0.12,0.23,,,,,1.50,3.00,,,,,,,,,0.50,1.00,0.13,0.27,5.43,4.35,14.68
AL21-1773,60x12,720,Open,144,0.30,4.65,11.82,0.48,1.68,1.00,3.72,0.72,0.72,0.20,0.33,,,0.17,0.33,2.27,4.52,0.60,1.20,0.42,0.83,0.37,0.73,0.35,0.70,0.30,0.30,0.12,0.23,5.25,4.75,12.77
AL21-1782,60x12,720,Open,0.166666667,0.50,3.53,14.20,0.40,0.40,0.70,4.00,0.83,0.83,0.80,0.80,13:12,0.55,0.60,0.60,2.75,5.08,,,,,,,,,,,,,3.70,3.70,14.70
AL21-1783,60x12,720,Open,0.25,0.90,3.03,7.88,0.33,1.60,0.02,2.52,0.27,0.40,0.12,0.12,2:00,0.08,0.18,0.08,1.55,2.68,0.22,0.65,0.32,0.63,0.12,0.23,0.15,0.30,0.28,0.57,0.08,0.13,3.28,3.28,8.78
AL21-1784,20x11,220,S/C WR 2.5B,0.05,0.30,2.47,5.90,0.23,0.90,0.67,1.66,,,,,,,0.12,0.23,0.67,1.608333333,0.17,0.33,0.13,0.15,0.07,0.13,0.12,0.35,0.13,0.28,0.04,0.08,2.53,1.78,6.26
AL21-1785,20x11,220,S/C WR 2.5B,0.083333333,0.42,2.47,5.90,0.23,0.90,0.67,1.66,,,,,,,0.12,0.23,0.67,1.608333333,0.17,0.33,0.13,0.15,0.07,0.13,0.12,0.35,0.13,0.28,0.04,0.08,2.53,1.78,6.26
AL21-1786,20x11,220,S/C WR 2.5B,0.141666667,0.46,1.92,5.14,0.15,0.57,0.94,0.68,0.17,0.17,0.04,0.04,2:00,0.083333333,0.05,0.10,0.03,1.42,,,,,,,,,,,,,2.55,2.55,5.60
AL21-1787,20x11,220,S/C WR 2.5B,0.141666667,0.46,1.92,5.14,0.15,0.57,0.94,0.68,0.17,0.17,0.04,0.04,2:00,0.083333333,0.05,0.10,0.03,1.42,,,,,,,,,,,,,2.55,2.55,5.60
AL21-1788,40x12,480,Open ,0.15,0.60,2.83,11.30,0.38,1.20,0.90,2.35,0.25,0.25,0.15,0.15,1:12,0.05,0.17,0.33,1.05,1.82,0.12,0.35,0.18,0.45,0.22,0.43,,,0.22,0.22,0.08,0.17,3.38,3.38,7.40
AL21-1789,40x12,480,Open ,0.216666667,0.65,2.52,7.12,0.38,1.38,0.87,2.27,0.35,0.35,0.18,0.18,,,0.15,0.30,0.92,2.12,0.15,0.45,0.13,0.45,0.25,0.75,,,0.22,0.22,0.07,0.13,2.73,2.97,7.77
AL21-1790,40x12,480,Open ,0.166666667,0.50,2.52,6.85,0.20,1.12,0.97,2.65,0.45,0.45,0.35,0.35,1:12,0.05,0.10,0.20,0.93,1.57,0.15,0.27,0.13,0.27,0.27,0.53,,,0.17,0.17,0.08,0.15,2.58,2.68,7.43
AL21-1791,40x12,480,Open ,0.133333333,0.43,3.05,7.33,0.40,1.18,0.77,2.18,0.32,0.32,0.15,0.15,1:36,0.07,0.12,0.13,1.53,2.22,0.15,0.60,0.01,0.60,0.20,0.40,,,0.53,0.53,0.05,0.10,3.20,3.25,7.77
AL21-1792,40x12,480,Open ,,,,,0.37,0.90,1.15,3.73,0.40,0.40,0.08,0.08,1:12,0.05,0.17,0.33,,,0.25,0.67,,,,,,,,,,,,,
AL21-1781,40x12,480,2 Office,,,,,1.08,1.00,1.25,3.75,,,,,,,,,2.75,5.5,,,,,,,,,,,,,7.68,7.93,11.13
